,Tieu de,Tác giả,Người dịch,Nhà xuất bản,Nhà phát hành,Mã Sản phẩm,Giấy phép XB,Khối lượng,Ngôn ngữ,Định dạng,Kích thước,Ngày phát hành,Số trang
13,Tự Học Viết Tiếng Nhật Căn Bản Hiragana,Jim Gleeson,NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086855482,NaN,450.00 gam,Tiếng Việt,Bìa mềm,16 x 24 cm,2022,88
14,Khám Phá Tâm Lý Học Giao Tiếp,Ian Tuhovsky,Nguyễn Tư Thắng,NXB Hồng Đức,Văn Lang,8935074129734,-QĐ/HĐ,300.00 gam,Tiếng Việt,Bìa mềm,21 x 13.5 cm,2022,272
15,Tâm Tình Với Đất Mẹ (Tái Bản 2022),Thích Nhất Hạnh,NaN,NXB Dân Trí,Saigon Books,8935278607625,-QĐ/DT,200.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2022,156
16,Điều Gì Đang Cản Lối Bạn ?,Robert Kelsey,Thế Anh,Nxb Thanh Hóa,Văn Lang,8935074129550,-QĐ/TH,360.00 gam,Tiếng Việt,Bìa mềm,21 x 13.5 cm,2022,344
17,Nghệ Sĩ Định Nghĩa Chính Mình,James cahill,NaN,NXB Hồng Đức,Văn Lang,8935074129703,-QĐ/HĐ,260.00 gam,Tiếng Việt,Bìa mềm,24 x 16 cm,2022,168
18,Dạy Con Về Tiền Bạc (Tái Bản),Ernest Tan,Nguyễn Tư Thắng,Nxb Thanh Hóa,Văn Lang,8935074129499,-QĐ/TH,250.00 gam,Tiếng Việt,Bìa mềm,21 x 13.5 cm,2022,232
19,Con Mình Chẳng Lẽ Lại Vứt,"DR Cherry Vũ, David Nguyễn, Rob England",NaN,Nxb Thế giới,Alpha books,8935309502202,NaN,550.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14 x 0.5 cm,2022,328
20,Dạy Con Bằng Kể Chuyện - Đây Chính Là Tớ,Đồng Niên,Đồng Niên,NXB Hồng Đức,Văn Lang,8935074130297,-QĐ/HĐ,140.00 gam,Tiếng Việt,Bìa mềm,21 x 17 cm,2022,56
21,Những Nhà Tư Tưởng Lớn - Adorno Trong 60 Phút,Walther Ziegler,NaN,NXB Hồng Đức,Văn Lang,8935074129581,-QĐ/HĐ,200.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2022,135
22,Điều Kỳ Diệu Của Vận Động,BS Nguyễn Tất Ứng,NaN,Nxb Lao động,Thái Hà,8935280910232,NaN,340.00 gam,Tiếng Việt,Bìa mềm,20.5 x 14.5 x 0.5 cm,2022,160
